titulo;empresa;localizacion;jornada;contrato;salario
 Representante de Ventas Emprendedor; QUICORNAC 593 4-372-7200S.A.; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesora comercial; Quimelia C.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Mesera; Quimera by Manabí; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 Mesera; Quimera by Manabí; Quito, Pichincha; Por Horas; Otro tipo de contrato; 394,00 US$ 
 Pizzero/a; Quito Pizza Co.; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Secretaría Contadora; Radio Estrella; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo determinado; 400,00 US$ 
 Vendedor; Raptortools; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente de Crédito y Cobranza; Ravcorp Cia Ltda; Durán, Guayas; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Supervisor de Guardias y Servicios Generales; Ravcorp Cia Ltda; Durán, Guayas; Tiempo Completo; Otro tipo de contrato; 544,00 US$ 
 Camarera; Ravcorp Cia Ltda; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 397,00 US$ 
 Supervisor de Hotel Bilingue; Ravcorp Cia Ltda; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Microbiólogo; Reactlab Import Cia. ltda.; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Laboratorista clínico; Reactlab Import Cia. ltda.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesor Comercial para Laboratorios Clínicos en Guayaquil; Reactlab Import Cia. ltda.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Conductor Logistica licencia tipo C; Rectificadora de motores Continental; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Gestor@ Comercial; REDIME CIA LTDA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Ingeniero; REDITELSA; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Editor/a; redux; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 mensajero motorizado; redux; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 asesor de ventas; redux; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 diseñador grafico; redux; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 cosmetologa; redux; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Medico; redux; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Auxiliar de limpieza; redux; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 medico dermatologo; redux; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Asesor Comercial Cuenca; REMECO; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesor Comercial Manabí; REMECO; Manta, Manabí; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente Contable; REMECO; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 410,00 US$ 
 mensajero; Repare; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; 400,00 US$ 
 Secretaria; Repare; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Gerente de operaciones y ventas; Resasaurant SA; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Chofer Vendedor Licencia Tipo C o E; Reselec sa; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 700,00 US$ 
 Chofer Vendedor; Resgas; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 605,00 US$ 
 Ayudante para parqueadero; RESTAURANTE CASA DAMIAN; Quito, Pichincha; Por Horas; Contrato por tiempo determinado; 394,00 US$ 
 Especialista en Markleting; REVISIONES TÉCNICAS APPLUS DEL ECUADOR APPLUSITEUVE S A; Durán, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Impulsadora; REVISIONES TÉCNICAS APPLUS DEL ECUADOR APPLUSITEUVE S A; Durán, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesor/a servicio al cliente; REVISIONES TÉCNICAS APPLUS DEL ECUADOR APPLUSITEUVE S A; Durán, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Chofer; REVISIONES TÉCNICAS APPLUS DEL ECUADOR APPLUSITEUVE S A; Durán, Guayas; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Digitador/a; REVISIONES TÉCNICAS APPLUS DEL ECUADOR APPLUSITEUVE S A; Durán, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Lavaplato; Rey Ollón; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Cocinero/a; Rey Ollón; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Asesor Comercial Motorizado; REYCASOSA S.A.; Durán, Guayas; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Comisionista Asesor Comercial; REYCASOSA S.A.; Durán, Guayas; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Vendedor comisionista motorizado; REYCASOSA S.A.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Vendedor de Campo; REYCASOSA S.A.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Vendedor de campo; REYCASOSA S.A.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Asesor Comercial Motorizado; REYCASOSA S.A.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Asesor Comercial Motorizado; REYCASOSA S.A.; Guayaquil, Guayas; Por Horas; Otro tipo de contrato; 400,00 US$ 
 Asesor Comisionista para provincia; REYCASOSA S.A.; Guayas; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 asistente contable pasante; REYSOL ORGANISMO DE CAPACITACIÓN Y CERTIFICACIÓN DE PERSONAS; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Secretaria administrativa pasante; REYSOL ORGANISMO DE CAPACITACIÓN Y CERTIFICACIÓN DE PERSONAS; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 asesor comercial; REYSOL ORGANISMO DE CAPACITACIÓN Y CERTIFICACIÓN DE PERSONAS; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Relaciones públicas y comunicación corporativa; REYSOL ORGANISMO DE CAPACITACIÓN Y CERTIFICACIÓN DE PERSONAS; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Técnico Electromecánico o Mecánico; RFERRI; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Ejecutivo de ventas; Rhinos Group; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 475,00 US$ 
 Asesora ventas; Rhinos Group; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 475,00 US$ 
 Ejecutivo Comercial; Rhinos Group; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 475,00 US$ 
 Profesora de inglés solo mujeres; Rhinos Group; Quito, Pichincha; Por Horas; Contrato de obra o labor; A convenir
 Se Solicita Promotores Vendedores; Ricardoe; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 550,00 US$ 
 Contador independiente Guayaquil; RideTel Cía. Ltda.; Quito, Pichincha; Por Horas; Contrato de obra o labor; A convenir
 Operador de Telehander; RIPCONCIV CIA. LTDA.; Guayaquil, Guayas; Tiempo Completo; Contrato de obra o labor; A convenir
 Operador de Mini Cargadora; RIPCONCIV CIA. LTDA.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Administrador Ogp Guayaquil; RIPCONCIV CIA. LTDA.; Guayaquil, Guayas; Tiempo Completo; Contrato de obra o labor; 1,00 US$ 
 Operador Retroexcavadora Guayaquil; RIPCONCIV CIA. LTDA.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo determinado; 1,00 US$ 
 sse solicita asesor de ventas; rivas & asociados; Quito, Pichincha; Tiempo Completo; Contrato por tiempo determinado; 394,00 US$ 
 se solicita asesor comercial; rivas & asociados; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 394,00 US$ 
 Pasante de sistemas; Rivera Diligencias Aduaneras S.A.; Guayaquil, Guayas; Beca/Prácticas; Otro tipo de contrato; A convenir
 Polifuncional, ventas telas tapicería; Rocha Molina Jose Armando; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Jovenes despachadores de almacén; Rocha Molina Jose Armando; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Visitadora Medica; ROMAD Servicios Médicos Profesionales Cia. Ltda; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Visitador a médico; ROMAD Servicios Médicos Profesionales Cia. Ltda; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Visitador a médico; ROMAD Servicios Médicos Profesionales Cia. Ltda; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Necesito urgente una enfermera en norte de quito; romeojewelet; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesor externo de Proyectos; Rooftec Ecuador S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistende de Logistica y Coordinacion; Rosas de Mulalo Mulrosas Cía. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Recargador de Extintores; ROSERO NARVAEZ FRANCISCO DANIEL; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Recargador de Extintores con Licencia; ROSERO NARVAEZ FRANCISCO DANIEL; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Revendedor/a; ROYAL MASTER; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Ejecutivo/a de telemárketing; ROYAL MASTER; Quito, Pichincha; Beca/Prácticas; Otro tipo de contrato; A convenir
 DistribuIdor/a; ROYAL MASTER; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Marketing; ROYAL TRAVEL GROUP; Quito, Pichincha; Medio Tiempo; Otro tipo de contrato; A convenir
 Full Stack Developer; Royaltic Group; Guayaquil, Guayas; Tiempo Completo; Contrato de obra o labor; 800,00 US$ 
 Conductor comercial; RULHERMAQ CIA LTDA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Agente ventas telefónicas; RULHERMAQ CIA LTDA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Ejecutiva de Ventas; RULHERMAQ CIA LTDA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Merco Impulsadora; Sabijers; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 405,00 US$ 
 Merco Impulsadora; Sabijers; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 405,00 US$ 
 Inspectores; SAIS; Machala, El Oro; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Promotor/a demovendedora; SAJADOR S.A; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Auxiliar de parque infantil,; Salinas Yacht Club; Salinas, Santa Elena; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Asistente/a de comercio exterior; SAMPER CÍA. LTDA.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Coordinador/ra de Campo a nivel industrial; SAMPER CÍA. LTDA.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Panadero/a; SAN FRANCISCO FOODSERVICE USFQGROUP S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Pastelero/a; SAN FRANCISCO FOODSERVICE USFQGROUP S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Coordinador de moldes; San Miguel Industrias Pet; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 1.000,00 US$ 
 Auditor semi sénior; Santander Auditores; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Auditor júnior; Santander Auditores; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Auditor júnior; Santander Auditores; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Auditor semi senior; Santander Auditores; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Administración y ventas; Santos Distribuidores; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 480,00 US$ 
 Vendedor; SARO SERVICIOS; Quito, Pichincha; Medio Tiempo; Otro tipo de contrato; A convenir
 Asistente de gerencia; SAVAPAL; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 429,00 US$ 
 Administración; Sccaphek; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ingeniera en Gestión Ambiental y SSO; SCM GESTION; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Doctora Ocupacional Guayaquil; SCM GESTION; Guayaquil, Guayas; Por Horas; Otro tipo de contrato; A convenir
 Ingeniera en Gestión Ambiental y SSO; SCM GESTION; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Vendedor Ejecutivo Comercial; SCM GESTION; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Remote Manual QA (Intermediate+); Scopic Software LLC; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 Remote Senior PHP/JavaScript Developer; Scopic Software LLC; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 Remote AWS Big Data Engineer; Scopic Software LLC; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 Remote Senior Java Developer; Scopic Software LLC; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 Remote Financial Operations Analyst; Scopic Software LLC; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente Legal Área Societaria; SDRLawyers Consultores Legales S.A; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 500,00 US$ 
 Asistente Legal de Derecho Preventivo; SDRLawyers Consultores Legales S.A; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 450,00 US$ 
 Asistente Legal del Área Judicial; SDRLawyers Consultores Legales S.A; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 500,00 US$ 
 Asistente Legal (área societaria); SDRLawyers Consultores Legales S.A; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 500,00 US$ 
 Ejecutivo de ventas; Seaban S.A.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Ejecutivo de Telemarketing y Ventas; Seaban S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Ejecutiva de Ventas para; Seaban S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Vendedor; Seaban S.A.; Guayaquil, Guayas; Por Horas; Contrato por tiempo determinado; A convenir
 Se necesita Mensajero y Visitador; Secoya s.a.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Tripulante de Transporte de Valores; Seguridad Nacional Y Profesional Senapro; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Supervisor de Seguridad; Seguridad Nacional Y Profesional Senapro; Loja, Loja; Medio Tiempo; Otro tipo de contrato; A convenir
 Guardia de Seguridad y Recepción; Seguridad Nacional Y Profesional Senapro; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Hombre Guardia y Recepción; Seguridad Nacional Y Profesional Senapro; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Radio operador/a Certificado; Seguridad Nacional Y Profesional Senapro; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Coordinador de Seguridad; Seguridad Nacional Y Profesional Senapro; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Radio operador Certificado; Seguridad Nacional Y Profesional Senapro; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Asistente de Ventas; SEGURIDAD PERSONAL Y PRIVADA SEGURPERS CIA.LTDA.; Guayaquil, Guayas; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Asistente Talento Humano; SEGURIDAD PRIVADA SALAZAR BRAVO SABRASEG CIA. LTDA.; Ambato, Tungurahua; Medio Tiempo; Contrato por tiempo determinado; 394,00 US$ 
 Mensajero Motorizado; Seguridad s.a.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 402,00 US$ 
 Asistente de Comercio Exterior; Seguridad s.a.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 500,00 US$ 
 Chofer Tipo E; Seguridad s.a.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 600,00 US$ 
 Asistente de Comercio Exterior; Seguridad s.a.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Ayudante de Operaciones; Seguridad s.a.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 402,00 US$ 
 Pasantias; Seguridad s.a.; Guayaquil, Guayas; Medio Tiempo; Otro tipo de contrato; 394,00 US$ 
 Coordinador de Seguridad fisica; Seguridad s.a.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 1.000,00 US$ 
 Guardia de Seguridad Personal Femenino; Segurileja Cia Ltda; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Tripulante Chofer 15 puntos en licencia; Segurileja Cia Ltda; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Agente de venta; Seguros Alvarado; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Gerente de Proyectos; SEIDOR S. A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Programador BI; SEIDOR S. A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo determinado; 850,00 US$ 
 Asistente contabilIdad; SEIDOR S. A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Dispatcher Mesa de Soporte; SEIDOR S. A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Coordinador PCOE; SEIDOR S. A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 1.000,00 US$ 
 Subcontador/a; SEIDOR S. A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 850,00 US$ 
 asistente de seguridad industrial; SEING PROAÑO Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato de obra o labor; A convenir
 Asistente administración; SEING PROAÑO Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo determinado; 500,00 US$ 
 Ingeniero Mecanico; SEING PROAÑO Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Freelance Asesor Comercial; Selección de Personal HC; Guayaquil, Guayas; Desde Casa; Otro tipo de contrato; A convenir
 Key account manager; Selección de Personal HC; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Jefe de Ventas de Equipo e Insumos Industriales; Selección de Personal HC; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente de Gerencia de Compras e Importaciones; Selección de Personal HC; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 650,00 US$ 
 Asistente Coordinador de Bodega; Selección de Personal HC; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vendedor de Cobertura Nivel Nacional; Selección de Personal HC; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vendedor de Etiquetas para Industria; Selección de Personal HC; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vendedor de Cobertura Nivel Nacional; Selección de Personal HC; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Telefonista Freelance; Selección de Personal HC; Guayaquil, Guayas; Desde Casa; Otro tipo de contrato; A convenir
 Freelance Asesor Comercial; Selección de Personal HC; Guayaquil, Guayas; Desde Casa; Otro tipo de contrato; A convenir
 Vendedor de Cobertura con Experiencia; Selección de Personal HC; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vendedor de Ruta con Experiencia; Selección de Personal HC; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Primer Cocinero; Selina; Baños, Tungurahua; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Pasante; Selina; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Hotel General Manager; Selina; Santa Elena, Santa Elena; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Gerente de Alimentos y Bebidas; Selina; Santa Elena, Santa Elena; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Coordinador de Compras; SEÑALEX; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Asistente Administrativo/a Señalx Guayaquil; SEÑALEX; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Diseñador Grafico con Experiencia en Publicidad; SEÑALEX; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Supervisor de planta o produccion; SEÑALEX; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 650,00 US$ 
 Chófer instalador; SEÑALEX; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Diseñador Grafico con Experiencia en Publicidad; SEÑALEX; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Técnico de Salud y Seguridad Ocupacional; Sepribe Cía. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Chófer de volqueta; Seprotransporte S.A; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ayudante de mecánica; Seprotransporte S.A; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 guardia custodio; Seprotransporte S.A; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente de Informática; Seprotransporte S.A; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Monitorista; Seprotransporte S.A; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente Comercial; Serducap; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Asistente comercial; Serducap; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 598,00 US$ 
 Profesor; Serducap; Guayaquil, Guayas; Medio Tiempo; Contrato por tiempo indefinido; 394,00 US$ 
 Operador producción; Seriplast; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 vendedor cocinero; Sermatick; Quito, Pichincha; Medio Tiempo; Contrato de obra o labor; A convenir
 Ejecutivo de Ventas; SERTEZA; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo determinado; 1.500,00 US$ 
 Se requiere Técnico de Línea Blanca; SERVI HOME; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Analista de sistemas / Soporte técnico; SERVICIO DE ASESORIA TECNICA Y COMERCIAL S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 550,00 US$ 
 Teleoperadoras Call Center; Servicios de Marketing Ecuador; Quito, Pichincha; Por Horas; Contrato por tiempo indefinido; A convenir
 Asistente Contable; Servicios Empresariales S.A. SEMPRECOMPANY; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Auxiliar de Tansporte; SERVICIOS LOGISTICOS TOTALES TOTALOGISTIC; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 394,00 US$ 
 Ayudante de Transporte; SERVICIOS LOGISTICOS TOTALES TOTALOGISTIC; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Químico farmacéutico; SERVICIOS LOGISTICOS TOTALES TOTALOGISTIC; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ayudante de transporte; SERVICIOS LOGISTICOS TOTALES TOTALOGISTIC; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Jefe de Sistemas Integrados de Gestion; SERVICIOS LOGISTICOS TOTALES TOTALOGISTIC; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ayudante de Ruta / Repartidor; SERVICIOS LOGISTICOS TOTALES TOTALOGISTIC; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Químico Farmacéutico; SERVICIOS LOGISTICOS TOTALES TOTALOGISTIC; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Quimico Farmaceutico; SERVICIOS LOGISTICOS TOTALES TOTALOGISTIC; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Auxiliar de Bodega; SERVICIOS LOGISTICOS TOTALES TOTALOGISTIC; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Ejecutiva de cuentas; Servicios Turisticos Galextur Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Jefe Operaciones; Servicios Turisticos Galextur Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ejecutivo de ventas hotelería y turismo; Servicios Turisticos Galextur Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Responsable operaciones; Servicios Turisticos Galextur Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 ayudante de cocina polivalente; Servicios Turisticos Galextur Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ejecutivo de ventas hotelería y turismo; Servicios Turisticos Galextur Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente operaciones turismo; Servicios Turisticos Galextur Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Auxiliar de odontología con experiencia; SERVIDENT S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 416,00 US$ 
 Cirujano/a dentista; SERVIDENT S.A.; Salinas, Santa Elena; Por Horas; Otro tipo de contrato; A convenir
 Cobrador Recaudador en Quevedo; SERVIFINANCE CONSULTORES; Quevedo, Los Ríos; Tiempo Completo; Contrato por tiempo indefinido; 407,00 US$ 
 Analista de Tesoreria; SERVIFINANCE CONSULTORES; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 700,00 US$ 
